Oz40MW,siemens415W,siemens450W,aurecon1MW
0.864803844,0.631832074,0.632612848,0.670512
0.87919512,0.628176268,0.628999384,0.665932
0.892100644,0.624520463,0.62538592,0.663184
0.90492098,0.621402881,0.622499313,0.660436
0.915895576,0.6182853,0.619612707,0.656772
0.916,0.615167719,0.616726101,0.65494
0.916,0.612050138,0.613839495,0.651276
0.916,0.608932557,0.610952889,0.648528
0.916,0.605814976,0.608066283,0.64578
0.916,0.605512076,0.607557711,0.643032
0.916,0.605209176,0.607049138,0.643948
0.916,0.604906276,0.606540566,0.646696
0.916,0.604603376,0.606031994,0.646696
0.916,0.604300476,0.605523421,0.649444
0.916,0.603997576,0.605014849,0.652192
0.916,0.60315122,0.604117954,0.65494
0.911244128,0.602304864,0.603221058,0.655856
0.899430476,0.601458508,0.602324163,0.65494
0.88440258,0.600612152,0.601427268,0.65952
0.8729709,0.599765796,0.600530372,0.660436
0.855728116,0.59891944,0.599633477,0.65952
0.837174536,0.595920537,0.596663054,0.660436
0.819045064,0.592921634,0.593692631,0.65952
0.79862376,0.589922731,0.590722208,0.661352
0.7789435,0.586923828,0.587751785,0.657688
0.754677744,0.583924925,0.584781362,0.655856
0.731058684,0.580926022,0.581810938,0.644864
0.69969118,0.56908041,0.569776363,0.6183
0,0.557234798,0.557741787,0.63204
0,0.545389185,0.545707211,0.628376
0,0.533543573,0.533672635,0.62288
0,0.521697961,0.521638059,0.561508
0,0.509852348,0.509603483,0.501968
0,0.444143559,0.442660133,0.431436
0,0.378434769,0.375716783,0.35266
0,0.31272598,0.308773432,0.281212
0,0.24701719,0.241830082,0.209764
0,0.181308401,0.174886732,0.145644
0,0.115599611,0.107943382,0.07786
0,0,0,0.012824
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.013751815,0.014684121,0
0,0.056747409,0.054659992,0.0458
0,0.099743003,0.094635862,0.09618
0,0.142738598,0.134611733,0.054044
0,0.185734192,0.174587603,0.079692
0,0.228729786,0.214563474,0.145644
0,0.271725381,0.254539344,0.174956
0,0.325650646,0.311392716,0.139232
0,0.379575912,0.368246088,0.142896
0,0.433501178,0.42509946,0.367316
0,0.487426444,0.481952832,0.470824
0,0.54135171,0.538806204,0.721808
0,0.595276976,0.595659576,0.820736
0.732545352,0.588098872,0.588412557,0.419528
0,0.580920769,0.581165537,0.379224
0,0.573742666,0.573918518,0.451588
0,0.566564563,0.566671498,0.336172
0,0.55938646,0.559424479,0.450672
0,0.552208357,0.552177459,0.468076
0.687840888,0.558279782,0.558370651,0.410368
0,0.564351208,0.564563843,0.533112
0.74203328,0.570422634,0.570757035,0.392964
0,0.576494059,0.576950227,0.639368
0.838395564,0.582565485,0.583143419,0.488228
0.746790068,0.58863691,0.589336611,0.580744
0.818255472,0.5801787,0.581057303,0.72364
0.916,0.57172049,0.572777994,0.704404
0.916,0.56326228,0.564498685,0.469908
0.752427132,0.55480407,0.556219376,0.382888
0,0.54634586,0.547940068,0.628376
0.903192488,0.53788765,0.539660759,0.55876
0.841440348,0.545506542,0.547145789,0.547768
0.83391266,0.553125435,0.554630819,0.505632
0.7927293,0.560744327,0.562115848,0.676924
0.916,0.568363219,0.569600878,0.693412
0.916,0.575982112,0.577085908,0.614636
0.877053512,0.583601004,0.584570938,0.529448
0.795583556,0.57506862,0.575917434,0.506548
0.769785332,0.566536236,0.56726393,0.698908
0.916,0.558003851,0.558610426,0.774936
0.916,0.549471467,0.549956922,0.726388
0.915529176,0.540939083,0.541303419,0.472656
0.722927352,0.532406699,0.532649915,0.806996
0.916,0.522686013,0.522893159,0.372812
