wind,solar,base,float
2.869382222,0,20,1500
2.817992222,0,20,1500
2.322446111,0,20,1500
2.583495,0,20,1500
2.798934444,0,20,1500
2.606039444,0.0146254,20,1500
2.187604444,0.73894,20,1500
1.836078889,1.07814,20,1500
1.11407,1.0769,20,1500
1.120214444,1.0769,20,1500
0.625107778,1.0769,20,1500
0.502897,1.07336,20,1500
0.300419556,1.06758,20,1500
0.1286995,1.0641,20,1500
0.027748639,1.0632,20,1500
0.070293389,1.0654,20,1500
0.686069444,0.94994,20,1500
0.639628333,0.48614,20,1500
1.219108889,0,20,1500
1.866727222,0,20,1500
1.968127778,0,20,1500
2.505368333,0,20,1500
2.221014444,0,20,1500
3.278583889,0,20,1500
2.640331111,0,20,1500
1.787986111,0,20,1500
1.731380556,0,20,1500
2.236160556,0,20,1500
2.948660556,0,20,1500
2.555375,0.011084,20,1500
1.330942222,0.57412,20,1500
1.215781667,0.86378,20,1500
1.358611667,0.9618,20,1500
1.176379444,1.06406,20,1500
0.566568333,1.0769,20,1500
0.260217,1.0769,20,1500
0.256949889,1.0769,20,1500
0.1773685,1.0468,20,1500
0.352340667,0.96742,20,1500
0.269477944,0.85214,20,1500
2.141995,0.56962,20,1500
3.538095,0.25714,20,1500
2.613762778,0,20,1500
1.338946111,0,20,1500
1.069926111,0,20,1500
0.098259778,0,20,1500
0.613834444,0,20,1500
1.162313333,0,20,1500
1.241141111,0,20,1500
2.331303889,0,20,1500
2.407145,0,20,1500
2.360201111,0,20,1500
1.930668333,0,20,1500
2.758801111,0.0110796,20,1500
2.850632222,0.56248,20,1500
3.290681111,0.86884,20,1500
1.264077222,1.0769,20,1500
1.226122222,1.0503,20,1500
1.38561,0.85748,20,1500
1.063083333,0.65092,20,1500
0.965718333,0.57214,20,1500
0.480642444,0.51152,20,1500
0.102322056,0.08008,20,1500
0.259484944,0.052518,20,1500
0.039283378,0.025732,20,1500
0.076483833,0,20,1500
0.055438167,0,20,1500
1.507489444,0,20,1500
2.732438333,0,20,1500
3.256127778,0,20,1500
3.122503889,0,20,1500
2.995585556,0,20,1500
2.013955556,0,20,1500
1.394128889,0,20,1500
1.683414444,0,20,1500
1.324293333,0,20,1500
